unique_id,primary,size,study_type,status,primary_sponsor,leading_institution,registration_date,start_date,end_date,results_submitted,publication_found,source,has_g_scholar_results,primary_sponsor_simple,leading_institution_simple
93d58895,NCT00021255,3222,interventional,Completed,Sanofi,Sanofi,2003-01-26,2001-04-01,2014-12-01,TRUE,TRUE,NCT,TRUE,Sanofi,Sanofi
69d61016,NCT00022516,1086,interventional,Completed,International Breast Cancer Study Group,European Institute of Oncology,2003-01-26,2000-11-01,2015-01-01,TRUE,TRUE,NCT,TRUE,NA,NA
13db58ef,NCT00025259,1734,interventional,Completed,Children's Oncology Group,Children's Oncology Group,2003-01-26,2002-09-01,2012-08-01,TRUE,TRUE,NCT,TRUE,Children's Oncology Group,Children's Oncology Group
d709c40a,NCT00027846,378,interventional,Unknown,Children's Oncology Group,St. Jude Children's Research Hospital,2003-01-26,2003-08-01,2010-01-01,TRUE,FALSE,NCT,TRUE,Children's Oncology Group,NA
1f593287,NCT00028795,170,interventional,Completed,Children's Oncology Group,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,2003-01-26,2002-12-01,2007-09-01,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,NA
06d2fe04,NCT00030680,44,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,Arnhems Radiotherapeutisch Instituut,2003-01-26,2001-11-01,2012-03-01,FALSE,FALSE,NCT,TRUE,EORTC,NA
b965b4a8,NCT00030771,232,interventional,Ongoing,Swiss Group for Clinical Cancer Research,Kantonsspital Winterthur KSW,2003-01-26,2001-04-04,2014-04-09,FALSE,TRUE,NCT,TRUE,SAKK,Kantonsspital Winterthur
a731427d,NCT00043134,220,interventional,Unknown,European Organisation for Research and Treatment of Cancer - EORTC,HagaZiekenhuis - Locatie Leyenburg,2003-01-26,2002-05-01,2008-05-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
2d3f911e,NCT00046228,2461,interventional,Completed,"Centocor, Inc.","Centocor, Inc.",2002-09-24,2002-08-01,2008-01-01,TRUE,TRUE,NCT,TRUE,NA,NA
855ab7f9,NCT00047320,104,interventional,Completed,Children's Oncology Group,Ann & Robert H Lurie Children's Hospital of Chicago,2003-01-26,2004-01-01,2009-02-01,TRUE,FALSE,NCT,TRUE,Children's Oncology Group,NA
c149d0e2,NCT00053352,302,interventional,Completed,Children's Oncology Group,Children's Oncology Group,2003-01-27,2003-11-01,2013-10-01,TRUE,FALSE,NCT,TRUE,Children's Oncology Group,Children's Oncology Group
a4cf7899,NCT00055874,1551,interventional,Completed,Heidelberg University,III. Medizinische Klinik Mannheim,2003-03-06,2002-06-01,2012-03-31,FALSE,TRUE,NCT,TRUE,NA,NA
f4189711,NCT00056056,93,interventional,Terminated,European Organisation for Research and Treatment of Cancer - EORTC,St. Thomas' Hospital,2003-03-06,2003-01-01,2010-05-01,TRUE,TRUE,NCT,TRUE,EORTC,NA
38f4e5b1,NCT00056069,172,interventional,Completed,Children's Oncology Group,University of Maryland Greenebaum Cancer Center,2003-03-06,2002-12-01,2010-01-01,FALSE,FALSE,NCT,TRUE,Children's Oncology Group,NA
dfddc156,NCT00056407,8231,interventional,Completed,GlaxoSmithKline,GlaxoSmithKline,2003-03-12,2003-03-01,2009-01-01,TRUE,TRUE,NCT,TRUE,GlaxoSmithKline,GlaxoSmithKline
174e6b28,NCT00056446,855,interventional,Completed,Novartis Pharmaceuticals,Novartis / Schering AG Germany,2003-03-13,2003-01-01,2007-01-01,FALSE,TRUE,NCT,TRUE,Novartis,Novartis
f43208a6,NCT00056459,1168,interventional,Completed,Novartis,"Novartis / Schering AG, Germany",2003-03-13,2003-02-01,2007-01-01,FALSE,TRUE,NCT,TRUE,Novartis,Novartis
7f7edb7a,NCT00058201,1030,interventional,Completed,Royal Liverpool University Hospital,Royal Liverpool University Hospital,2003-04-08,2001-07-01,2008-04-01,FALSE,TRUE,NCT,TRUE,NA,NA
7f309b3d,NCT00059839,129,interventional,Completed,Children's Oncology Group,Medical University of South Carolina,2003-05-06,2003-11-01,2009-12-01,TRUE,TRUE,NCT,TRUE,Children's Oncology Group,NA
3b217ea7,NCT00061984,455,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,"Institute of Cancer Research, United Kingdom",2003-06-05,2003-04-01,2010-05-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
272408d0,NCT00062400,385,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,"Institute Of Oncology & Radiology, Belgrade, Serbia",2003-06-05,2003-05-01,2008-06-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
ea5b7dc0,NCT00062660,NA,interventional,Completed,Boehringer Ingelheim,Boehringer Ingelheim,2003-06-11,2003-05-01,2014-04-01,FALSE,FALSE,NCT,TRUE,Boehringer Ingelheim,Boehringer Ingelheim
40a07a02,NCT00064207,97,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,Erasme University Hospital,2003-07-08,2003-05-01,2007-01-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
c635ed3f,NCT00064974,215,interventional,Completed,Celgene Corporation,Celgene Corporation,2003-07-16,2003-06-01,2007-01-01,FALSE,FALSE,NCT,TRUE,Celgene,Celgene
b6ba64a5,NCT00066703,2672,interventional,Ongoing,International Breast Cancer Study Group,Oncology Institute of Southern Switzerland,2003-08-06,2003-08-01,2014-06-01,TRUE,TRUE,NCT,TRUE,NA,NA
23ccfe54,NCT00068601,257,interventional,Completed,Southwest Oncology Group,The Cleveland Clinic,2003-09-10,2003-10-01,2014-01-01,TRUE,TRUE,NCT,TRUE,NA,NA
0e0828a1,NCT00069121,1886,interventional,Completed,Hoffmann-La Roche,Hoffmann-La Roche,2003-09-17,2003-01-01,2009-04-01,TRUE,TRUE,NCT,TRUE,Hoffmann-La Roche,Hoffmann-La Roche
bf9348ca,NCT00069784,12537,interventional,Completed,Sanofi,Sanofi,2003-10-03,2003-08-01,2011-12-01,TRUE,TRUE,NCT,TRUE,Sanofi,Sanofi
01a3d140,NCT00070304,33,interventional,Completed,Children's Oncology Group,Rutgers Cancer Institute of New Jersey,2003-10-06,2004-07-01,2007-09-01,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,NA
ca2b9f9f,NCT00072293,931,interventional,Completed,International Breast Cancer Study Group,European Institute of Oncology,2003-11-05,2001-12-01,2012-09-01,TRUE,TRUE,NCT,TRUE,NA,NA
9f938662,NCT00072462,2980,interventional,Ongoing,Queen Mary University of London,Queen Mary University of London,2003-11-05,2003-09-01,2015-12-01,FALSE,FALSE,NCT,TRUE,NA,NA
4e9e798e,NCT00073749,79,interventional,Completed,Pfizer,Pfizer,2003-12-04,2003-08-01,2010-12-01,TRUE,FALSE,NCT,TRUE,Pfizer,Pfizer
45f8c702,NCT00074087,49,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,UniversitaetsSpital Zuerich,2003-12-10,2003-10-01,2009-07-01,FALSE,TRUE,NCT,TRUE,EORTC,Unispital Zürich
71b4d4d1,NCT00074152,162,interventional,Completed,International Breast Cancer Study Group,"Inselspital Bern, Switzerland",2003-12-10,2002-07-01,2014-02-01,TRUE,TRUE,NCT,TRUE,NA,Inselspital Bern
ed234143,NCT00074906,1200,interventional,Completed,Takeda,"University of California and La Jolla Veterans Affairs Medical Center, San Diego, CA, USA",2003-12-24,2003-11-01,2008-03-01,FALSE,TRUE,NCT,TRUE,Takeda,NA
d07af750,NCT00075218,361,interventional,Completed,Pfizer,Pfizer,2004-01-07,2003-12-01,2008-05-01,TRUE,TRUE,NCT,TRUE,Pfizer,Pfizer
333ef7a8,NCT00075582,390,interventional,Unknown,Children's Oncology Group,Children's Oncology Group,2004-01-11,2004-09-01,2012-09-01,TRUE,FALSE,NCT,TRUE,Children's Oncology Group,Children's Oncology Group
65ca4b2d,NCT00075725,3154,interventional,Completed,Children's Oncology Group,Maine Children's Cancer Program at Barbara Bush Children's Hospital,2004-01-12,2003-12-01,2010-12-01,TRUE,TRUE,NCT,TRUE,Children's Oncology Group,NA
010c126f,NCT00076388,1440,interventional,Completed,AstraZeneca,AstraZeneca,2004-01-22,2004-02-01,2007-03-01,FALSE,TRUE,NCT,TRUE,AstraZeneca,AstraZeneca
cd0187c3,NCT00078832,3864,interventional,Ongoing,Queen Mary University of London,Queen Mary University of London,2004-03-08,2003-09-01,2013-12-01,FALSE,FALSE,NCT,TRUE,NA,NA
2c432c46,NCT00082433,1221,interventional,Completed,R-Pharm,Bristol-Myers Squibb,2004-05-10,2003-11-01,2008-03-01,TRUE,TRUE,NCT,TRUE,NA,Bristol-Myers Squibb
f28cc4ac,NCT00083096,30,interventional,Unknown,European Organisation for Research and Treatment of Cancer - EORTC,Centre Regional Rene Gauducheau,2004-05-14,2004-03-01,2009-06-01,FALSE,FALSE,NCT,TRUE,EORTC,NA
fe88395d,NCT00085735,549,interventional,Completed,Children's Oncology Group,Children's Oncology Group,2004-06-15,2004-04-01,2016-03-01,TRUE,FALSE,NCT,TRUE,Children's Oncology Group,Children's Oncology Group
0d89284c,NCT00086346,607,interventional,Terminated,Wyeth is now a wholly owned subsidiary of Pfizer,Wyeth is now a wholly owned subsidiary of Pfizer,2004-07-01,2002-12-01,2008-07-01,TRUE,FALSE,NCT,TRUE,Pfizer,Pfizer
37524448,NCT00087646,948,interventional,Completed,Hoffmann-La Roche,Hoffmann-La Roche,2004-07-13,2003-09-01,2008-05-01,TRUE,TRUE,NCT,TRUE,Hoffmann-La Roche,Hoffmann-La Roche
14d352ae,NCT00087958,168,interventional,Completed,Sanofi,Sanofi,2004-07-19,2004-08-01,2007-02-01,FALSE,FALSE,NCT,TRUE,Sanofi,Sanofi
6ec2b3e6,NCT00088803,471,observational,Completed,Children's Oncology Group,Simmons Cancer Center,2004-08-04,2004-08-01,2016-05-01,FALSE,FALSE,NCT,TRUE,Children's Oncology Group,NA
e469815d,NCT00090363,447,interventional,Completed,AstraZeneca,AstraZeneca,2004-08-27,2004-07-01,2008-12-01,TRUE,TRUE,NCT,TRUE,AstraZeneca,AstraZeneca
28d6a99f,NCT00090753,1228,interventional,Completed,Hoffmann-La Roche,Hoffmann-La Roche,2004-09-03,2004-10-01,2009-12-01,TRUE,FALSE,NCT,FALSE,Hoffmann-La Roche,Hoffmann-La Roche
9ec4c148,NCT00091637,5745,interventional,Completed,Procter and Gamble,Procter and Gamble,2004-09-15,2004-04-01,2007-05-01,FALSE,TRUE,NCT,TRUE,NA,NA
5546da10,NCT00094029,NA,interventional,Completed,Pfizer,Pfizer,2004-10-08,2004-09-01,2011-10-01,FALSE,TRUE,NCT,TRUE,Pfizer,Pfizer
4b5fcdaa,NCT00094653,1783,interventional,Completed,Bristol-Myers Squibb,Bristol-Myers Squibb,2004-10-21,2004-09-01,2009-08-01,TRUE,TRUE,NCT,TRUE,Bristol-Myers Squibb,Bristol-Myers Squibb
963193c5,NCT00095147,431,interventional,Completed,Bristol-Myers Squibb,Bristol-Myers Squibb,2004-11-01,2005-02-01,2009-07-01,TRUE,TRUE,NCT,TRUE,Bristol-Myers Squibb,Bristol-Myers Squibb
38a84c0b,NCT00095238,4128,interventional,Completed,Bristol-Myers Squibb,Bristol-Myers Squibb,2004-11-01,2002-06-01,2008-07-01,TRUE,TRUE,NCT,TRUE,Bristol-Myers Squibb,Bristol-Myers Squibb
6e1bac30,NCT00096135,168,interventional,Completed,Children's Oncology Group,University of Miami Miller School of Medicine-Sylvester Cancer Center,2004-11-08,2004-11-01,2013-09-01,TRUE,FALSE,NCT,TRUE,Children's Oncology Group,NA
1a769658,NCT00097786,9306,interventional,Completed,Novartis Pharmaceuticals,Novartis Pharmaceuticals,2004-11-30,2002-01-01,2009-10-01,TRUE,TRUE,NCT,TRUE,Novartis,Novartis
8a1ddca7,NCT00098293,916,interventional,Completed,ViiV Healthcare,Pfizer,2004-12-06,2004-11-01,2007-04-01,TRUE,TRUE,NCT,TRUE,ViiV Healthcare,Pfizer
8066dd26,NCT00098722,474,interventional,Completed,ViiV Healthcare,Pfizer,2004-12-07,2004-12-01,2007-04-01,TRUE,TRUE,NCT,TRUE,ViiV Healthcare,Pfizer
4789d25c,NCT00098982,16,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,Istituto Nazionale per lo Studio e la Cura dei Tumori,2004-12-08,2004-09-01,2007-01-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
5072731b,NCT00099177,96,interventional,Terminated,Hoffmann-La Roche,Hoffmann-La Roche,2004-12-09,2005-08-01,2007-12-01,FALSE,FALSE,NCT,TRUE,Hoffmann-La Roche,Hoffmann-La Roche
13d8bb70,NCT00099203,163,interventional,Terminated,Hoffmann-La Roche,Hoffmann-La Roche,2004-12-09,2005-07-01,2007-12-01,FALSE,FALSE,NCT,TRUE,Hoffmann-La Roche,Hoffmann-La Roche
74d97565,NCT00099268,747,interventional,Completed,Novartis Pharmaceuticals,NA,2004-12-09,2004-09-01,2008-11-01,TRUE,TRUE,NCT,TRUE,Novartis,NA
e28da7aa,NCT00100802,118,interventional,Unknown,Children's Oncology Group,University of Pittsburgh,2005-01-06,2005-07-01,2012-09-01,TRUE,TRUE,NCT,FALSE,Children's Oncology Group,NA
1b2c7e8f,NCT00101595,96,interventional,Completed,Bristol-Myers Squibb,Bristol-Myers Squibb,2005-01-12,2005-01-01,2007-12-01,FALSE,FALSE,NCT,TRUE,Bristol-Myers Squibb,Bristol-Myers Squibb
b68a85f9,NCT00101608,150,interventional,Completed,Bristol-Myers Squibb,Bristol-Myers Squibb,2005-01-12,2005-01-01,2007-04-01,FALSE,FALSE,NCT,TRUE,Bristol-Myers Squibb,Bristol-Myers Squibb
51178329,NCT00102128,NA,interventional,Terminated,"Genzyme, a Sanofi Company","Genzyme, a Sanofi Company",2005-01-21,2002-11-01,2007-04-01,TRUE,FALSE,NCT,TRUE,Sanofi,Sanofi
15d3bc6e,NCT00102388,1092,interventional,Completed,Novartis Pharmaceuticals,Novartis Pharmaceuticals,2005-01-28,2005-01-01,2008-03-01,FALSE,TRUE,NCT,TRUE,Novartis,Novartis
77e98ef5,NCT00102466,1007,interventional,Completed,Novartis Pharmaceuticals,Novartis Pharmaceuticals,2005-01-28,2005-01-01,2009-01-01,FALSE,FALSE,NCT,TRUE,Novartis,Novartis
a9a5f979,NCT00103285,5377,interventional,Completed,Children's Oncology Group,Children's Oncology Group,2005-02-07,2005-04-01,2013-12-01,TRUE,TRUE,NCT,TRUE,Children's Oncology Group,Children's Oncology Group
e5d4b28b,NCT00104624,53,interventional,Terminated,UNICANCER,"Gustave Roussy, Cancer Campus, Grand Paris",2005-03-03,2005-05-01,2007-07-01,TRUE,FALSE,NCT,FALSE,NA,NA
4c90d124,NCT00105443,602,interventional,Completed,Bayer,Bayer,2005-03-14,2005-03-01,2008-11-01,TRUE,TRUE,NCT,TRUE,Bayer,Bayer
16742aa6,NCT00106522,499,interventional,Completed,Hoffmann-La Roche,Hoffmann-La Roche,2005-03-25,2005-05-01,2007-11-01,FALSE,TRUE,NCT,TRUE,Hoffmann-La Roche,Hoffmann-La Roche
2c3a3847,NCT00106535,1196,interventional,Completed,Hoffmann-La Roche,Hoffmann-La Roche,2005-03-25,2005-01-01,2007-05-01,TRUE,TRUE,NCT,TRUE,Hoffmann-La Roche,Hoffmann-La Roche
da7ca602,NCT00107081,70,interventional,Terminated,Swiss Pediatric Oncology Group,"Pediatric Hematology/Oncology, University Children's Hospital, Inselspital, CH-3010 Bern, Switzerland",2005-04-04,2004-01-01,2007-12-01,TRUE,TRUE,NCT,TRUE,NA,Inselspital Bern
6d0011f6,NCT00107471,7,interventional,Terminated,Children's Oncology Group,University of Michigan Rogel Cancer Center,2005-04-05,2005-10-01,2007-10-01,TRUE,FALSE,NCT,TRUE,Children's Oncology Group,NA
ae0561d9,NCT00109707,942,interventional,Completed,Novartis Pharmaceuticals,Novartis Pharmaceuticals,2005-05-02,2004-05-01,2012-09-01,FALSE,TRUE,NCT,TRUE,Novartis,Novartis
42b7d66f,NCT00110045,171,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",2005-05-03,2005-02-01,2008-03-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
b6f9cbf2,NCT00110123,171,interventional,Terminated,European Organisation for Research and Treatment of Cancer - EORTC,Centre Hospitalier Universitaire Vaudois,2005-05-03,2005-01-01,2011-06-01,TRUE,TRUE,NCT,TRUE,EORTC,Unispital Lausanne
bfc00dcf,NCT00110877,604,interventional,Completed,"Tibotec Pharmaceuticals, Ireland",Tibotec Pharmaceutical Limited,2005-05-13,2005-04-01,2007-01-01,FALSE,TRUE,NCT,TRUE,NA,NA
69387b64,NCT00112216,9,interventional,Completed,Centre Hospitalier Universitaire Vaudois,Ludwig Institute for Cancer Research,2005-05-31,1999-05-01,2007-06-01,FALSE,TRUE,NCT,TRUE,Unispital Lausanne,NA
745e51d3,NCT00112229,29,interventional,Completed,Centre Hospitalier Universitaire Vaudois,Ludwig Institute for Cancer Research,2005-05-31,2003-04-01,2011-08-01,TRUE,TRUE,NCT,TRUE,Unispital Lausanne,NA
bd968d28,NCT00112242,38,interventional,Completed,Centre Hospitalier Universitaire Vaudois,Centre Hospitalier Universitaire Vaudois,2005-05-31,2004-02-01,2013-03-01,TRUE,FALSE,NCT,TRUE,Unispital Lausanne,Unispital Lausanne
c8958d44,NCT00116597,15,interventional,Completed,"University Hospital, Basel, Switzerland","University Hospital, Basel, Switzerland",2005-06-29,2002-11-01,2007-07-01,FALSE,TRUE,NCT,TRUE,Unispital Basel,Unispital Basel
4c203ac8,NCT00117598,169,interventional,Completed,Pfizer,Pfizer,2005-06-30,2005-05-01,2007-08-01,TRUE,TRUE,NCT,TRUE,Pfizer,Pfizer
fceb337f,NCT00119717,515,interventional,Completed,CoAxia,"University of Alberta, Edmonton",2005-07-07,2005-06-01,2010-06-01,FALSE,TRUE,NCT,TRUE,NA,NA
daf0cc7d,NCT00122460,442,interventional,Completed,"Merck KGaA, Darmstadt, Germany","Merck KGaA, Darmstadt, Germany",2005-07-19,2004-12-01,2007-03-01,TRUE,TRUE,NCT,TRUE,Merck,Merck
f9b0575b,NCT00127283,829,interventional,Completed,Novo Nordisk A/S,Novo Nordisk A/S,2005-08-03,2005-05-01,2007-01-01,FALSE,TRUE,NCT,TRUE,Novo Nordisk,Novo Nordisk
d4c3cd67,NCT00128700,20,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,Azienda Ospedaliera di Padova,2005-08-08,2005-06-01,2007-11-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
ab8b4670,NCT00130559,286,interventional,Completed,"University Hospital, Basel, Switzerland","University Hospital, Basel, Switzerland",2005-08-12,2003-12-01,2007-03-01,FALSE,TRUE,NCT,TRUE,Unispital Basel,Unispital Basel
6d58bf11,NCT00130598,258,interventional,Completed,"University Hospital, Basel, Switzerland",University Hospital of Basel,2005-08-12,2005-06-01,2009-12-01,FALSE,TRUE,NCT,TRUE,Unispital Basel,Unispital Basel
82b3b2f3,NCT00130611,250,interventional,Completed,"University Hospital, Basel, Switzerland","University Hospital, Basel, Switzerland",2005-08-12,2004-01-01,2010-01-01,FALSE,TRUE,NCT,TRUE,Unispital Basel,Unispital Basel
a2485a58,NCT00130897,NA,interventional,Completed,Pfizer,Pfizer,2005-08-15,2005-07-01,2011-11-01,FALSE,TRUE,NCT,TRUE,Pfizer,Pfizer
8914c5ec,NCT00132522,45,interventional,Completed,EMD Serono,"University of Wisconsin, Madison",2005-08-19,2005-05-01,2008-06-01,FALSE,TRUE,NCT,TRUE,Merck,NA
a6ef3484,NCT00133978,1223,interventional,Completed,Daren K. Heyland,"Clinical Evaluation Research Unit, Kingston General Hospital",2005-08-22,2005-04-01,2011-12-01,TRUE,TRUE,NCT,TRUE,NA,NA
807f7cd9,NCT00134030,1164,interventional,Ongoing,Children's Oncology Group,Children's Oncology Group,2005-08-22,2005-11-14,2015-01-31,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,Children's Oncology Group
c1c83523,NCT00134563,1088,interventional,Completed,Sanofi,St. Michael's Hospital Toronto (Canada),2005-08-23,2004-09-01,2010-07-01,TRUE,TRUE,NCT,TRUE,Sanofi,NA
d7193e54,NCT00135499,138,interventional,Terminated,Lymphoma Study Association,Lymphoma Study Association,2005-08-25,2001-10-16,2010-04-27,TRUE,TRUE,NCT,TRUE,LYSA,LYSA
614aeb4c,NCT00137423,107,interventional,Completed,Pfizer,Pfizer,2005-08-26,2005-05-01,2007-09-01,TRUE,TRUE,NCT,TRUE,Pfizer,Pfizer
6441ce88,NCT00137995,481,interventional,Completed,Lymphoma Study Association,Lymphoma Study Association,2005-08-29,2003-06-01,2008-10-01,FALSE,TRUE,NCT,TRUE,LYSA,LYSA
c19dd2e0,NCT00140010,80,interventional,Completed,University of Cambridge,University of Cambridge,2005-08-29,2005-04-01,2007-03-01,FALSE,TRUE,NCT,TRUE,NA,NA
deeb8c9e,NCT00140660,223,interventional,Terminated,Lymphoma Study Association,Lymphoma Study Association,2005-08-31,2003-12-01,2008-07-01,TRUE,TRUE,NCT,TRUE,LYSA,LYSA
cf93157d,NCT00141193,1561,interventional,Completed,Pfizer,Pfizer,2005-08-30,2001-02-01,2007-05-01,FALSE,TRUE,NCT,TRUE,Pfizer,Pfizer
b8eddf81,NCT00143312,45,interventional,Completed,Pfizer,Pfizer,2005-09-01,2005-02-01,2008-04-01,TRUE,FALSE,NCT,TRUE,Pfizer,Pfizer
c1f1d5bf,NCT00143403,321,interventional,Completed,Pfizer,Pfizer,2005-09-01,2001-12-01,2008-02-01,TRUE,FALSE,NCT,FALSE,Pfizer,Pfizer
f83eaade,NCT00143455,485,interventional,Completed,Pfizer,Pfizer,2005-09-01,2002-06-01,2008-12-01,TRUE,FALSE,NCT,TRUE,Pfizer,Pfizer
a1fe5230,NCT00144170,882,interventional,Completed,Boehringer Ingelheim,Boehringer Ingelheim,2005-09-02,2003-02-01,2008-10-01,TRUE,TRUE,NCT,TRUE,Boehringer Ingelheim,Boehringer Ingelheim
3ba3454a,NCT00144339,5993,interventional,Completed,Boehringer Ingelheim,Boehringer Ingelheim,2005-09-02,2002-12-01,2008-02-01,TRUE,TRUE,NCT,TRUE,Boehringer Ingelheim,Boehringer Ingelheim
cf0ce33f,NCT00144755,600,interventional,Completed,Lymphoma Study Association,Lymphoma Study Association,2005-09-02,2003-12-01,2012-12-01,FALSE,TRUE,NCT,TRUE,LYSA,LYSA
9d2a3052,NCT00144807,128,interventional,Completed,Lymphoma Study Association,Lymphoma Study Association,2005-09-02,2003-12-01,2008-09-01,FALSE,TRUE,NCT,TRUE,LYSA,LYSA
b4c86844,NCT00146328,997,interventional,Completed,Boehringer Ingelheim,Boehringer Ingelheim,2005-09-05,2001-04-01,2008-05-01,TRUE,FALSE,NCT,FALSE,Boehringer Ingelheim,Boehringer Ingelheim
5f3cfdb6,NCT00147836,436,interventional,Completed,Sun Yat-sen University,Ministry of Education,2005-09-04,2004-09-01,2007-10-01,FALSE,TRUE,NCT,TRUE,NA,NA
e571a590,NCT00148798,1861,interventional,Completed,"Merck KGaA, Darmstadt, Germany","Universitätsklinik für Innere Medizin I, Wien",2005-09-07,2004-10-01,2007-07-01,TRUE,TRUE,NCT,TRUE,Merck,NA
36856e18,NCT00149968,196,interventional,Completed,Novartis,Novartis,2005-09-06,2005-04-01,2007-01-01,FALSE,TRUE,NCT,TRUE,Novartis,Novartis
e184e1ab,NCT00149981,1025,interventional,Completed,Novartis Pharmaceuticals,Novartis Pharmaceuticals,2005-09-06,2003-08-01,2014-02-01,FALSE,FALSE,NCT,FALSE,Novartis,Novartis
2547703f,NCT00149994,171,interventional,Completed,Novartis Pharmaceuticals,Novartis,2005-09-06,2002-12-01,2007-12-01,TRUE,FALSE,NCT,FALSE,Novartis,Novartis
f1885553,NCT00150046,176,interventional,Completed,Novartis Pharmaceuticals,Basel Novartis Pharma AG,2005-09-07,2004-12-01,2007-05-01,FALSE,TRUE,NCT,TRUE,Novartis,Novartis
e75f15af,NCT00150072,55,interventional,Completed,Novartis Pharmaceuticals,Novartis Pharmaceuticals,2005-09-07,2004-10-01,2008-04-01,FALSE,TRUE,NCT,TRUE,Novartis,Novartis
