"basec_id","project_title","multi_or_monocentric","principal_investigator","investigational_sites","type","study_phase","study_category","lead_ec","local_ecs","final_decition_date"
2016-00171,"Assessment of liver stiffness in HCV
infected patients undergoing antiviral
treatment with new DAA",monocentric,"Dr. med. Benedetta
Terziroli Beretta-Piccoli","Epatocentro Ticino,
Lugano","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,21.03.2016
2016-00192,"PHASE 3 RANDOMIZED, DOUBLE-BLIND,
PLACEBO CONTROLLED, MULTICENTER
STUDY TO COMPARE THE EFFICACY AND
SAFETY OF LENALIDOMIDE (CC-5013) PLUS
R-CHOP CHEMOTHERAPY (R2-CHOP)
VERSUS PLACEBO PLUS R-CHOP
CHEMOTHERAPY IN SUBJECTS WITH
PREVIOUSLY UNTREATED ACTIVATED B-
CELL TYPE DIFFUSE LARGE B-CELL
LYMPHOMA",multicentric,Dr Anastasios Stathis,"Istituto Oncologico della
Svizzera Italiana, Ospedale
Regionale Bellinzona e
Valli, Bellinzona
Kantonosspital Aarau AG,
Aarau
Hopitaux Universitaire de
Geneve, Geneve
Kantonsspital Winterthur
Departement Medizin,
Medizinische Onkologie,
Winterthur",clinical trial,phase 3,B,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche CCER",12.12.2016
2016-00193,"ART for AGES (AfA). The benefits of musical
experience on the health and wellbeing of
older adults in nursing homes: a clinical trial",monocentric,prof Paola Di Giulio,"SUPSI, Manno",clinical trial,,A,"Comitato etico
cantonale Ticino",,10.03.2016
2016-00326,"A Phase IB Dose Exploration Trial with MK-
8628, a Small Molecule Inhibitor of the
Bromodomain and Extra-Terminal (BET)
Proteins, in Subjects with Selected
Advanced Solid Tumors",monocentric,Anastasios Stathis,"Istituto Oncologico della
Svizzera Italiana (IOSI),
Bellizona",clinical trial,phase 1/2,C,"Comitato etico
cantonale Ticino",,10.05.2016
2016-00327,"A Phase IB Trial with MK-8628, a Small
Molecule Inhibitor of the Bromodomain
and Extra-Terminal (BET) Proteins, in
Subjects with Selected Hematologic
Malignancies",monocentric,"Dr. med. Anastasios
Stathis","Istituto Oncologica della
Svizzera Italiana,
Bellinzona",clinical trial,phase 1/2,C,"Comitato etico
cantonale Ticino",,23.05.2016
2016-00339,"PROGETTO ALISA: IMPATTO DI DIETA E
DIGIUNO IN DONNE CON CARCINOMA
MAMMARIO: MIGLIORAMENTO DELLA
TOLLERANZA AI TRATTAMENTI, DELLA
QUALITÀ DI VITA E POSSIBILE IMPATTO
SULLA PREVENZIONE DELLE RECIDIVE E LA
PROGRESSIONE DI MALATTIA",monocentric,MD Olivia Pagani,"CSSI - IOSI, Lugano",clinical trial,,A,"Comitato etico
cantonale Ticino",,04.08.2016
2016-00346,"Bioavailability and tolerability study of two
new diclofenac epolamine lecithin gel
formulations (2.6% and 3.9%) in
comparison with the marketed diclofenac
epolamine lecithin gel formulation 1.3%
(Effigel® IBSA)",monocentric,"Milko Radicioni, MD,
Principal Investigator","CROSS Research S.A., Arzo",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino",,07.04.2016
2016-00361,"The development of collaborative palliative
care integration in respiratory medicine
consultations for adult outpatients with
advanced chronic obstructive pulmonary
disease (COPD): An action research study",monocentric,Dr. med. Tanja Fusi,"IOSI-EOC, 6500 Bellinzona","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,13.04.2016
2016-00365,"A PHASE 3, MULTICENTER, RANDOMIZED,
OPEN-LABEL STUDY OF
AVELUMAB* (MSB0010718C) ALONE OR IN
COMBINATION WITH
PEGYLATED LIPOSOMAL DOXORUBICIN
VERSUS PEGYLATED LIPOSOMAL
DOXORUBICIN ALONE IN PATIENTS WITH
PLATINUM-RESISTANT/REFRACTORY
OVARIAN CANCER",multicentric,Dr. Cristiana Sessa,"Istituto Oncologico della
Svizzera Italiana
(IOSI)/Oncology Institute
of Southern Switzerland,
Ospedale San Giovanni,
CH-6500 Bellinzona
Universitätsspital Basel,
Frauenklinik, Abt.
Gynäkologie/Gynäkologisc
he Onkologie,
Spitalstrasse 21, 4031
Basel
Luzerner Kantonsspital,
Medizinische Onkologie,
Studienzentrale
Onkologie, Spitalstrasse,
6000 Luzern 16
Universitätsspital Zürich,
Klinik für Gynäkologie,
Frauenklinikstrasse 10,
8091 Zürich",clinical trial,phase 3,C,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Kantonale
Ethikkommission
Zürich",16.08.2016
2016-00503,"Bioequivalence study of a new formulation
of ibuprofen 400 mg/10 mL oral
suspension vs. the reference product
MOMENTACT 400 mg film-coated tablet in
healthy volunteers",monocentric,MD Milko Radicioni,"CRO Research S.A:, Arzo",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino",,18.05.2016
2016-00511,"Prospective, observational, multi-centred,
non-interventional study on the
identification of biomarkers that are
predictive of early ibrutinib treatment
failure in high risk TP53 mutated chronic
lymphocytic leukemia",multicentric,Dr. Davide Rossi,"Oncology Institute of
Southern Switzerland,
Bellinzona
Division of Hematology,
Department of Internal
Medicine, Basel University
Hospital, Basel
Hematology, Luzern
Kantonsspital, Luzer","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",25.05.2016
2016-00518,"Bioequivalence study of a new formulation
of ibuprofen 200 mg/5 mL oral suspension
vs. the reference product MOMENT 200
mg coated tablet in healthy volunteers",monocentric,MD Milko Radicioni,"CROSS Research S.A., Arzo",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino",,18.05.2016
2016-00615,"I bisogni dei malati dializzati in Canton
Ticino",monocentric,PI/ monica bianchi,"SUPSI, Manno","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,21.07.2016
2016-00692,"“UNTOUCHED Understanding Outcomes
with the EMBLEMTM S-ICD in Primary
Prevention Patients with Low Ejection
Fraction ”, Clinical Protocol C1851_Ver AC,
10Feb2016",multicentric,Prof. Tiziano Moccetti,"Cardiocentro Ticino,
Lugano
University Hospital Zurich,
Zurich",clinical trial,,A,"Comitato etico
cantonale Ticino","Kantonale
Ethikkommission
Zürich",27.09.2017
2016-00694,"A Prospective, Multicenter, Single Arm
Real-World Registry Investigating the
Clinical Use and Safety of the Lutonix Drug
Coated Balloon PTA Catheter for Treatment
of Dysfunctional AV Fistulae",monocentric,"Dr. med. Jos C. van den
Berg","Ospedale Regionale di
Lugano, Lugano",clinical trial,,A,"Comitato etico
cantonale Ticino",,19.07.2016
2016-00698,"S-ACETYL-L-GLUTATHIONE AND L-
GLUTATHIONE COMPARATIVE
PHARMACOKINETIC STUDY IN HEALTHY
VOLUNTEERS",monocentric,"Milko Radicioni, MD,
Principal Investigator","CROSS Research S.A., Arzo",clinical trial,,A,"Comitato etico
cantonale Ticino",,24.05.2016
2016-00795,"The role of chemokines in tuning the
inflammatory response in autoimmunity.",monocentric,"MD, Mariagrazia Uguccioni","Istituto di Ricerca in
Biomedicina, Universita'
della Svizzera italiana,
Bellinzona","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,12.07.2016
2016-00841,"Follow-up a lungo termine degli interventi
di ricostruzione percutanea della valvola
mitralica (MitraClip) eseguiti al
Cardiocentro Ticino",monocentric,"Master student Giorgia
Garzoli","Cardiocentro Ticino,
Lugano","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,04.07.2016
2016-00869,"Bioavailability study of a new testosterone
tablets formulation administered as single
doses of 1, 2 and 3 mg to healthy
postmenopausal women",monocentric,MD Milko Radicioni,"CROSS Research S.A., Arzo",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino",,14.06.2016
2016-00870,"Clinical and device functional assessment
of real world ICD patients",monocentric,"Prof Dr Med Tiziano
Moccetti","Cardiocentro Ticino,
Lugano",clinical trial,,A,"Comitato etico
cantonale Ticino",,05.12.2016
2016-01037,"Using individual body composition
measures to predict optimal physique for
swimming performance",monocentric,Céline Utiger,"Swiss Federal Office of
Sport, Tenero","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,05.08.2016
2016-01097,"Comparative bioavailability of diclofenac
epolamine tablets vs. Flector® granules for
oral solution in healthy volunteers, pilot
study in fed conditions",monocentric,"Milko Radicioni, MD,
Principal Investigator","CROSS Research S.A., Arzo",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino",,21.07.2016
2016-01108,"Identification of MGMT downregulation
induced by miRNA in glioblastoma and
possible effect on temozolomide sensitivity",monocentric,med.pract Debora Cipriani,"Neurosurgery, Inselspital
Bern (currently
Neurosurgery, Ospedale
Regionale Lugano), Bern
(Currently Lugano)","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,07.10.2016
2016-01110,"A RANDOMIZED, OPEN-LABEL,
MULTICENTER, PHASE 3 STUDY TO
EVALUATE THE EFFICACY AND SAFETY OF
AVELUMAB (MSB0010718C) IN
COMBINATION WITH AND/OR FOLLOWING
CHEMOTHERAPY IN PATIENTS WITH
PREVIOUSLY UNTREATED EPITHELIAL
OVARIAN CANCER",multicentric,"Prof. Dr. med. Cristiana
Sessa","Istituto Oncologico della
Svizzera Italiana
(IOSI)/Oncology Institute
of Southern Switzerland,
Ospedale San Giovanni,
6500 Bellinzona
Luzerner Kantonsspital,
Medizinische Onkologie,
Studienzentrale
Onkologie, Spitalstrasse,
6000 Luzern 16
Universitätsspital Basel,
Frauenklinik, Abt.
Gynäkologie/Gynäkologisc
he Onkologie,
Gynäkologisches
Tumorzentrum,
Spitalstrasse 21, 4031
Basel
Kantonsspital Frauenfeld,
Frauenklinik,
Pfaffenholzstr. 4, 8501
Frauenfeld
Kantonsspital Winterthur,
Medizinische Onkologie,
Brauerstrasse 15, 8401
Winterthur",clinical trial,phase 3,C,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission
Zürich",22.05.2017
2016-01241,"A multicenter, global, retrospective,
observational study to characterize real-
world clinical outcomes in patients with
relapsing-remitting multiple sclerosis
treated with disease-modifying therapies
(Tecfidera®, Copaxone®, Aubagio®, or
Gilenya®) (EFFECT)",multicentric,Dr. med. Chiara Zecca,"Ospedale Regionale di
Lugano, Lugano
Inselspital Bern, Bern
Kantonsspital Aarau AG,
Aarau
Hopitaux universitaires de
Geneve, Geneve
Centre Hospitalier
Universitaire Vaudois,
Lausanne","personal
data/biological material",,,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Kantonale
Ethikkommission Bern
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)
Commission
cantonale d'éthique
de la recherche CCER",15.12.2016
2016-01272,"A phase IV, prospective, multicenter, open-
label, uncontrolled, non-interventional
observational, single arm study to measure
treatment satisfaction of MS patients on
Rebif after discontinuing alternative first-
line treatment",multicentric,Dr. med. Claudio Gobbi,"Ospedale Regionale di
Lugano, Lugano
Inselspital Bern, Bern
Kantonsspital Luzern,
Luzern
Kantonsspital Aarau, Aarau
Cabinet Dr. Henny
Christophe, Lausanne","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Kantonale
Ethikkommission Bern
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",09.01.2017
2016-01276,"Sviluppo di modelli in vitro per lo studio del
cancro della prostata e terapie
personalizzate",monocentric,"Prof.Dr.med Jean-Philippe
Theurillat","Istituto oncologico di
ricerca, Bellinzona","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,29.09.2016
2016-01309,"A Retrospective Comparison of Radiation
Dose Exposure of Fluoroscopy-guided to
CT-guided Lumbar Periradicolar Injections
and Facet Joint Blocks",monocentric,Dr.med Paolo Maino,"Centro per la Terapia del
Dolore EOC, Neurocentro
della Svizzera Italiana,
Viganello","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,29.09.2016
2016-01333,"Efficacy of Ondansetron in the treatment
of low anterior resection syndrome (LARS):
a single-centre, randomized, double blind,
placebo-controlled crossover study",monocentric,MD Dimitri Christoforidis,"Ospedale Regionale di
Lugano, Civico e Italiano,
Lugano",clinical trial,n/a,B,"Comitato etico
cantonale Ticino",,21.10.2016
2016-01345,"Highly conformal hypofractionated
radiotherapy (IGRT) in patients with
biochemically relapsed oligometastatic
adenocarcinoma of the prostate: a phase II
prospective pilot study.",monocentric,Dr. med. Ngwa Che Azinwi,"IOSI, Bellinzona",clinical trial,,B,"Comitato etico
cantonale Ticino",,02.12.2016
2016-01389,"TITLE: Valutazione della capacità di
riconoscimento delle espressioni facciali
emotive statiche e dinamiche in pazienti
Alzheimer.",monocentric,Dr. Med. Leonardo Sacco,"Ospedale Civico, 6900
Lugano","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,05.10.2016
2016-01393,"Mild brain injury and new anticoagulant
drugs: risk for haemorrhage?",monocentric,MD PhD Laura Uccella,"ospedale regionale di
lugano civico e italiano,
lutano","personal
data/biological material",,A,"Comitato etico
cantonale Ticino",,18.04.2017
2016-01455,"Analisi dei fattori che influenzano il luogo
di decesso nei pazienti oncologici
dell'Associazione Triangolo, Canton Ticino",monocentric,Heidi Kern,"Associazione Triangolo,
Locarno","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,28.09.2016
2016-01462,"Prevalence Of familial
hypercoleSTerolaemia (FH) in Italian
Patients with coronary artERy disease",monocentric,Prof. Tiziano Moccetti,"Cardiocentro Ticino, via
Tesserete 48, CH-6900 ,
Lugano","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,22.09.2016
2016-01521,"SAKK 35/15
A phase I trial of obinutuzumab in
combination with venetoclax in previously
untreated follicular lymphoma patients",multicentric,"Dr. med. Anastasios
Stathis","IOSI, Bellinzona
Inselspital, Bern
Universitätsspital Basel,
Basel
HUG, Genève
Kantonsspital St. Gallen,
St. Gallen
Kantonsspital
Graubünden, Chur",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche CCER",13.02.2017
2016-01569,"CHKT288X2101 - A Phase I, multicenter,
open-label dose escalation and expansion
study of HKT288, administered
intravenously in adult patients with
advanced solid tumors, including epithelial
ovarian cancer and renal cell carcinoma",monocentric,"Prof. Dr. med. Cristina
Sessa","Ospedale Regionale San
Giovanni Bellinzona e
Valli, Bellinzona",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino",,08.11.2016
2016-01665,Swiss Autoimmune Hepatitis Cohort Study,multicentric,"Dr. med Benedetta
Terziroli Beretta-Piccoli","Fondazione Epatocentro,
Lugano
Inselspital Bern, Bern
Kinderklinik, INSELSpital,
Universität Bern,
Pädiatrische
Gastroenterologie,
Hepatologie und
Ernährung, Bern
Kantonsspital Baselland,
Liestal
UKBB
Gastroenterologie&Ernähr
ung, Basel
Pädiatrische
Gastroenterologie,
Kinderspital Luzern LUKS,
Luzern
Centre Suisse des
Maladies du foie de
l’Enfant- Département de
l’Enfant et de
l’Adolescent, Geneve
Hôpitaux Universitaires de
Genève - Service de
Gastroentérologie &
Hépatologie,
Département des","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche CCER",10.04.2017
2016-01666,"Swiss Primary Biliary Cholangitis Cohort
Study",multicentric,"Dr. med B. Terziroli
Beretta-Piccoli","Fondazione Epatocentro
Ticino, Lugano
Inselspital Bern, Bern
Kantonsspital Baselland,
Liestal
Hôpitaux Universitaires de
Genève - Service de
Gastroentérologie &
Hépatologie,
Département des
Spécialités, Genève
Kantonsspital St.Gallen, St
Gallen
Universitätsspital Zürich,
Zürich","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche CCER",15.02.2017
2016-01718,"Analisi comparativa di tre diversi metodi di
valutazione della rigidità vascolare,
validazione di un metodo oscillometrico
non operatore-dipendente e esplorazione
delle sue potenzialità aggiuntive",monocentric,Prof. Dr.med  Luca Gabutti,"Ospedale Regionale
Bellinzona e Valli, Ente
Ospedaliero Cantonale,
Bellinzona","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,24.10.2016
2016-01767,"Assessment of electro-mechanical delay in
heart failure patients",monocentric,"Prof Tiziano Moccetti/Prof
Angelo Auricchio","Cardiocentro Ticino,
Lugano","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,28.12.2016
2016-01812,"Studio retrospettivo degli eventi acuti
dell’aorta toracica nel Canton Ticino (1999-
2016)",monocentric,"Prof Dr. med. Stefanos
Demertzis","Cardiocentro Ticino,
Lugano","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,12.01.2017
2016-01814,"Urgenze in un servizio di dermatologia di
un ospedale non universitario nella
Svizzera italiana",monocentric,"Medico assistente
Lorenzo Pelloni","Ospedale Regionale di
Bellinzona e Valli -
Bellinzona, Bellinzona","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,02.12.2016
2016-01830,"Adhesion study of Flectoparin® Tissugel
following plaster application in healthy
volunteers",monocentric,MD Milko Radicioni,"CROSS Research S.A., Arzo",clinical trial,phase 1,B,"Comitato etico
cantonale Ticino",,15.11.2016
2016-01844,"Swiss Registry of Out-of Hospital Cardiac
Arrest (SwissReCa)",multicentric,Roman Burkart,"Fondazione Ticino Cuore ,
Breganzona
Rettungsdienst + Spitäler
FMI AG, Unterseen
Rettungsdienst STS AG,
Spiez
Sanitätspolizei Bern, Bern
Rettungsdienst +
Kantonsspital Baselland,
Liestal
Sanität Basel, Basel
Rettungsdienst Luzerner
Kantonsspital LUKS, Luzern
Luzerner Kantonsspital
(LUKS), Luzern
Rettungsdienst Zug, Zug
Rettungsdienst
Spitalverbund Appenzell
Ausserrhoden SVAR,
Heiden
Rettung St.Gallen,
St.Gallen
FCTSA, Breganzona
Ambulanz und
Rettungsdienst Sense AG,
Wünnewil
Service Ambulance de la
Sarine - SAS, Villars-sur-","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",08.02.2017
2016-01885,"Regolamento per biobanche nell’ambito di
progetti di ricerca sull’essere umano
Banca di linfociti umani (+ seroteca)",monocentric,Davide Corti,"GHluâmneabs Biomed SA,
Bellinzona","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,10.02.2017
2016-01901,"Serum neurofilament light chain levels: a
biomarker for prediction of neurological
disability in multiple sclerosis",monocentric,Chiara Zecca,"Ospedale Regionale di
Lugano, Lugano","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,16.12.2016
2016-01978,"INTEGRATED MOLECULAR AND CLINICAL
PROFILING TO OPTIMIZE OUTCOME
PREDICTION IN SPLENIC MARGINAL ZONE
LYMPHOMA",multicentric,Dr. med. Davide Rossi,"Oncology Institute of
Southern Switzerland and
Institute of Oncology
Research, Bellinzona
Inselspital, University
Hospital Bern, Bern
Institute of Pathology,
University Hospital, Basel
Kantonsspital St. Gallen,
St. Gallen
Institute of Oncology
Research, IOSI, Bellinzona","personal
data/biological material",,,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern",27.04.2017
2016-01992,"Efficacia della Terapia della Bambola sui
disturbi del comportamento in persone
affette da demenza che vivono in Casa per
Anziani: uno studio clinico
Doll therapy efficacy for people with
dementia living in nursing homes: a
randomized single-blind controlled trial",monocentric,Rita Pezzati,"SUPSI, Manno",clinical trial,,A,"Comitato etico
cantonale Ticino",,12.01.2017
2016-02023,"Retrospective analysis of the outcomes of
HCV infected individuals in the hospital
setting in Switzerland",multicentric,Prof. Andreas Cerny,"Fondazione Epatocentro
Ticino, Lugano
Hepatology, Department
of Clinical Research,
University of Berne, Bern","personal
data/biological material",,,"Comitato etico
cantonale Ticino","Kantonale
Ethikkommission Bern",22.12.2016
2016-02101,"Identification of postoperative 5-ALA
induced fluorescence in respect to
biomolecular markers in glioma",monocentric,"Prof. Dr. med. Michael
Reinert","Neurosrugery,
Neurocentro , Lugano","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,15.02.2017
2016-02166,"Perimount and Hancock valve
hemodynamic comparison",monocentric,"PD Dr. Enrico ferrari, MD","Cardiocentro Ticino,
Lugano","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,27.04.2017
2016-02186,"HD 21 for advanced stages
Treatment optimization trial in the first-line
treatment of advanced stage Hodgkin
lymphoma; comparison of 4-6 cycles of
escalated BEACOPP with 4-6 cycles of
BrECADD",multicentric,Dr. med. Alden Moccia,"IOSI, Bellinzona
Inselspital, Bern
Spital STS AG, Thun
Kantonsspital Aarau, Aarau
Kantonsspital Olten, Olten
Kantonsspital Baden,
Baden and Brugg
Universitätsspital Basel,
Basel
Kantonsspital Baselland,
Liestal
Kantonsspital St. Gallen,
St. Gallen
Spital Thurgau AG,
Münsterlingen and
Frauenfeld
Hôpital Cantonal de
Fribourg, Fribourg
Hôpital Neuchâtelois,
Neuchâtel
Kantonsspital
Graubünden, Chur
Stadtspital Triemli, Zürich
Kantonsspital Winterthur,
Winterthur
Onkozentrum Hirslanden
Zürich, Zürich",clinical trial,phase 3,B,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",28.02.2017
2016-02236,"Swiss Primary Sclerosing Cholangitis Cohort
Study_SASL 40",multicentric,"Dr. med Benedetta
Terziroli Beretta-Piccoli","Fondazione Epatocentro,
Lugano
Inselspital Bern, 3010 Bern
Kinderklinik, Inselspital ,
Bern
Kantonsspital Baselland,
Liestal
Universitäts-Kinderspital
beider , Basel
Co-Chefarzt
Tagesklinik/Luzerner
Kantonsspital |
Kinderspital, 6000 Luzern
16
Centre Suisse des
Maladies du foie de
l’Enfant- Département de
l’Enfant et de
l’Adolescent, Genève 14
Service de
Gastroenterologie &
Hépatologie,
Département des
Spécialités, Genève
Kantonsspital St.Gallen,
St.Gallen
Ostschweizer Kinderspital,
St. Gallen","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche CCER",07.04.2017
2016-02246,"Le cure infermieristiche al Centro di
Senologia EOC",monocentric,Dario Valcarenghi,"EUnntiev eOrssipteätdsaslpieitraol  Zürich,
cantonale, Bellinzona","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,04.04.2017
2017-00046,"AutoPlay: An objective and free of context
conditioning system for the evaluation of
very young children’s ludic development –
Phase 1: methodology development",monocentric,Miss Rossini Emmanuelle,"SUPSI DEASS, Switzerland","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,17.07.2017
2017-00144,"Assessing the Risk of Transformation of
Follicular Lymphoma in the
mmunochemotherapy Era, and its Outcome",monocentric,MD Emanuele Zucca,"Istitiuto Oncologico della
Svizzera Italiana,
Bellinzona","personal
data/biological material",,,"Comitato etico
cantonale Ticino",,06.03.2017
2017-00166,"BIOTRONIK 4French for AMBulatory
peripheral intervention. A multicenter,
controlled trial comparing 4French versus
6French femoral access for endovascular
treatment of lower-extremity peripheral
artery disease in an ambulatory setting:
BIO4AMB",monocentric,Prof. Jos Van Den Berg,"Ospedale Regionale di
Lugano, Lugano",clinical trial,,A,"Comitato etico
cantonale Ticino",,27.04.2017
